start_lat,start_lon,end_lat,end_lon,start_node,end_node
43.073372,-89.383802,43.073724,-89.385494,44,52
43.074989,-89.382342,43.073372,-89.383802,90,44
43.086191,-89.436434,43.086257,-89.434878,96,94
43.07481,-89.393712,43.073288,-89.396135,34,36
43.085012,-89.369346,43.096919,-89.35142,56,57
43.074849,-89.3914,43.07481,-89.393712,21,34
43.07477,-89.390277,43.074849,-89.3914,38,21
43.071061,-89.407019,43.070977,-89.403744,1,7
43.065159,-89.403999,43.062942,-89.404119,15,13
43.059929,-89.403805,43.072029,-89.409137,26,27
43.073724,-89.385494,43.074989,-89.382342,52,90
43.075047,-89.406479,43.073505,-89.407051,31,18
43.078849,-89.429817,43.086191,-89.436434,95,96
43.073288,-89.396135,43.07408,-89.406253,36,37
43.062942,-89.404119,43.073506,-89.409433,13,14
43.086257,-89.434878,43.078849,-89.429817,94,95
43.070977,-89.403744,43.069713,-89.404121,7,30
43.075181,-89.410405,43.075453,-89.412714,19,25
43.07408,-89.406253,43.07477,-89.390277,37,38
43.073506,-89.409433,43.065159,-89.403999,14,15
43.072029,-89.409137,43.071061,-89.407019,27,1
43.069713,-89.404121,43.075047,-89.406479,30,31
43.075453,-89.412714,43.059929,-89.403805,25,26
43.073505,-89.407051,43.075181,-89.410405,18,19
