node,lon,lat
1,43.071061,-89.407019
2,43.075897,-89.400235
3,43.075849,-89.396996
4,43.071827,-89.397315
5,43.078397,-89.390083
6,43.07607,-89.405625
7,43.076628,-89.407048
8,43.075914,-89.403619
9,43.070977,-89.403744
10,43.070914,-89.399689
11,43.074073,-89.392419
12,43.076927,-89.392177
13,43.077604,-89.388164
14,43.073353,-89.401358
15,43.054418,-89.396633
16,43.049853,-89.392523
17,43.064991,-89.397725
18,43.068078,-89.400812
19,43.038541,-89.401184
20,43.048984,-89.394221
21,43.073337,-89.413257
22,43.054058,-89.39913
23,43.053954,-89.391915
24,43.041265,-89.384258
25,43.052103,-89.38062
26,43.062942,-89.404119
27,43.073506,-89.409433
28,43.07015,-89.38709
29,43.065181,-89.400965
30,43.045806,-89.375611
31,43.065159,-89.403999
32,43.041663,-89.404071
33,43.042876,-89.391838
34,43.038506,-89.398039
35,43.056492,-89.3987
36,43.073505,-89.407051
37,43.052376,-89.394985
38,43.075181,-89.410405
39,43.047158,-89.393898
40,43.043317,-89.377058
41,43.06786,-89.407154
42,43.063742,-89.40063
43,43.045534,-89.391846
44,43.066032,-89.396218
45,43.073403,-89.403854
46,43.067143,-89.413711
47,43.071983,-89.408983
48,43.071842,-89.3824
49,43.060126,-89.40062
50,43.074849,-89.3914
51,43.074837,-89.396803
52,43.07124,-89.38925
53,43.053968,-89.389946
54,43.039519,-89.384281
55,43.075453,-89.412714
56,43.059929,-89.403805
57,43.068441,-89.38701
58,43.06767,-89.4038
59,43.053984,-89.387278
60,43.03858,-89.40307
61,43.05175,-89.377979
62,43.069443,-89.401047
63,43.044443,-89.403831
64,43.069713,-89.404121
65,43.067875,-89.40928
66,43.0679,-89.414323
67,43.06902,-89.392346
68,43.053132,-89.383808
69,43.075047,-89.406479
70,43.070449,-89.414017
71,43.067564,-89.39415
72,43.071687,-89.392872
73,43.07025,-89.390357
74,43.041511,-89.393876
75,43.055744,-89.381871
76,43.044108,-89.385597
77,43.07481,-89.393712
78,43.068608,-89.388929
79,43.051775,-89.399231
80,43.069776,-89.393793
81,43.070796,-89.383911
82,43.073288,-89.396135
83,43.051996,-89.390897
84,43.07408,-89.406253
85,43.044439,-89.393901
86,43.074625,-89.40054
87,43.07477,-89.390277
88,43.049333,-89.400594
89,43.070848,-89.395205
90,43.045428,-89.388647
91,43.074745,-89.388354
92,43.073913,-89.397473
93,43.076046,-89.384707
