start_lat,start_lon,end_lat,end_lon,start_node,end_node
43.073913,-89.397473,43.071827,-89.397315,41,3
43.063945,-89.512543,43.079964,-89.509348,131,132
43.07408,-89.406253,43.075047,-89.406479,37,31
43.0874,-89.359165,43.088874,-89.357781,59,78
43.074837,-89.396803,43.073913,-89.397473,22,41
43.073505,-89.407051,43.073506,-89.409433,18,14
43.074849,-89.3914,43.074837,-89.396803,21,22
43.054058,-89.39913,43.062942,-89.404119,12,13
43.083716,-89.362013,43.085865,-89.360575,83,60
43.079964,-89.509348,43.075419,-89.507475,132,133
43.070914,-89.399689,43.074073,-89.392419,8,9
43.07279,-89.381014,43.081232,-89.365346,81,82
43.091766,-89.355489,43.080257,-89.366954,54,55
43.080257,-89.366954,43.078962,-89.368721,55,84
43.071827,-89.397315,43.070914,-89.399689,3,8
43.074933,-89.386107,43.076388,-89.381564,68,69
43.078962,-89.368721,43.077878,-89.370083,84,53
43.088874,-89.357781,43.07695,-89.373573,78,79
43.074989,-89.382342,43.07279,-89.381014,90,81
43.075419,-89.507475,43.075087,-89.509374,133,130
43.07695,-89.373573,43.075898,-89.376695,79,51
43.073506,-89.409433,43.072029,-89.409137,14,27
43.075047,-89.406479,43.073403,-89.403854,31,20
43.076388,-89.381564,43.074989,-89.382342,69,90
43.074073,-89.392419,43.074849,-89.3914,9,21
43.081232,-89.365346,43.083716,-89.362013,82,83
43.072029,-89.409137,43.073505,-89.407051,27,18
43.085865,-89.360575,43.0874,-89.359165,60,59
43.076046,-89.384707,43.074933,-89.386107,43,68
43.075898,-89.376695,43.073724,-89.385494,51,52
43.075087,-89.509374,43.063945,-89.512543,130,131
43.073724,-89.385494,43.076046,-89.384707,52,43
43.073403,-89.403854,43.07408,-89.406253,20,37
43.077878,-89.370083,43.091766,-89.355489,53,54
