OBJECTID,PointsToLine_shape_id,PointsToLine_shape_id2,trips_routes_route_id,trips_routes_route_short_name,trips_routes_trip_headsign,trips_routes_direction_id,trips_routes_direction_name,trips_routes_shape_id,trips_routes_shape_code,trips_routes_wheelchair_accessi,trips_routes_routes_agency_id,trips_routes_routes_route_long_,trips_routes_routes_route_servi,trips_routes_routes_route_type,trips_routes_routes_route_url,trips_routes_routes_route_color,trips_routes_routes_route_text_,start_date,end_date,PK_MD_WE,ShapeSTLength
3336,59757,59757,9899,2,NORTH TRANSFER: VIA SHERMAN,0,North Transfer,59757,2S,1,MMT,,WEST TP:NORTH TP,3,http://www.cityofmadison.com/metro/routes-schedules/route-2,B1006A,FFFFFF,20211205,20220305,111,57327.3014786666
3337,59758,59758,9899,2,CAPITOL SQUARE,0,North Transfer,59758,2Q,1,MMT,,WEST TP:NORTH TP,3,http://www.cityofmadison.com/metro/routes-schedules/route-2,B1006A,FFFFFF,20211205,20220305,001,37428.2480760169
3338,59759,59759,9899,2,NORTH TRANSFER: VIA FORDEM,0,North Transfer,59759,2F,1,MMT,,WEST TP:NORTH TP,3,http://www.cityofmadison.com/metro/routes-schedules/route-2,B1006A,FFFFFF,20211205,20220305,111,56821.1559937931
3339,59761,59761,9899,2,WEST TRANSFER: VIA SHERMAN,1,West Transfer,59761,s2,1,MMT,,WEST TP:NORTH TP,3,http://www.cityofmadison.com/metro/routes-schedules/route-2,B1006A,FFFFFF,20211205,20220305,111,56269.0226306876
3340,59763,59763,9899,2,WEST TRANSFER: VIA FORDEM,1,West Transfer,59763,f2,1,MMT,,WEST TP:NORTH TP,3,http://www.cityofmadison.com/metro/routes-schedules/route-2,B1006A,FFFFFF,20211205,20220305,111,55788.3321621351
3341,59771,59771,9901,4,NORTH TRANSFER,0,North Transfer,59771,4N,1,MMT,,SOUTH TP:NORTH TP,3,http://www.cityofmadison.com/metro/routes-schedules/route-4,007A49,000000,20211205,20220305,111,49322.0991539034
3342,59774,59774,9901,4,SOUTH TRANSFER,1,South Transfer,59774,4S,1,MMT,,SOUTH TP:NORTH TP,3,http://www.cityofmadison.com/metro/routes-schedules/route-4,007A49,000000,20211205,20220305,111,50007.8005899394
3343,59775,59775,9902,5,CAPITOL SQUARE,0,East Transfer,59775,5eQ,1,MMT,,SOUTH TP:EAST TP,3,http://www.cityofmadison.com/metro/routes-schedules/route-5,B76A5C,000000,20211205,20220305,001,16826.3473881494
3344,59776,59776,9902,5,EAST TRANSFER,0,East Transfer,59776,5E,1,MMT,,SOUTH TP:EAST TP,3,http://www.cityofmadison.com/metro/routes-schedules/route-5,B76A5C,000000,20211205,20220305,111,40678.3167305797
3345,59777,59777,9902,5,SOUTH TRANSFER,1,South Transfer,59777,q5S,1,MMT,,SOUTH TP:EAST TP,3,http://www.cityofmadison.com/metro/routes-schedules/route-5,B76A5C,000000,20211205,20220305,001,16808.3523269954
3346,59778,59778,9902,5,SOUTH TRANSFER,1,South Transfer,59778,5S,1,MMT,,SOUTH TP:EAST TP,3,http://www.cityofmadison.com/metro/routes-schedules/route-5,B76A5C,000000,20211205,20220305,111,39722.5020450772
3347,59780,59780,9903,6,E TOWNE: VIA MINERAL POINT: VIA MADISON COLLEGE & HAYES,0,East Towne,59780,6M%,1,MMT,,E TOWNE:WEST TP,3,http://www.cityofmadison.com/metro/routes-schedules/route-6,ED1C25,000000,20211205,20220305,100,88242.746853372
3348,59782,59782,9903,6,E TOWNE: VIA MINERAL POINT: VIA HAYES,0,East Towne,59782,6MH,1,MMT,,E TOWNE:WEST TP,3,http://www.cityofmadison.com/metro/routes-schedules/route-6,ED1C25,000000,20211205,20220305,111,80060.7562979515
3349,59783,59783,9903,6,TO FOREST RUN: VIA MINERAL POINT: VIA HAYES,0,East Towne,59783,6MHG,1,MMT,,E TOWNE:WEST TP,3,http://www.cityofmadison.com/metro/routes-schedules/route-6,ED1C25,000000,20211205,20220305,001,76747.0357789742
3350,59790,59790,9903,6,E TOWNE: VIA TOKAY: VIA MADISON COLLEGE,0,East Towne,59790,6TX,1,MMT,,E TOWNE:WEST TP,3,http://www.cityofmadison.com/metro/routes-schedules/route-6,ED1C25,000000,20211205,20220305,111,68881.0639409998
