OBJECTID,PointsToLine_shape_id,PointsToLine_shape_id2,trips_routes_route_id,trips_routes_route_short_name,trips_routes_service_id,trips_routes_trip_id,trips_routes_trip_headsign,trips_routes_direction_id,trips_routes_direction_name,trips_routes_block_id,trips_routes_shape_id,trips_routes_shape_code,trips_routes_trip_type,trips_routes_trip_sort,trips_routes_wheelchair_accessi,trips_routes_routes_agency_id,trips_routes_routes_route_long_,trips_routes_routes_route_servi,trips_routes_routes_route_type,trips_routes_routes_route_url,trips_routes_routes_route_color,trips_routes_routes_route_text_,service_id,service_name,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date,PK_MD_WE,trips_routes_bikes_allowed,trips_routes_routes_route_id,trips_routes_routes_route_short,ShapeSTLength
79611,59757,59757,9899,2,99_WKD,1071852,NORTH TRANSFER: VIA SHERMAN,0,North Transfer,200645,59757,2S,W,20100,1,MMT,,WEST TP:NORTH TP,3,http://www.cityofmadison.com/metro/routes-schedules/route-2,B1006A,FFFFFF,99_WKD,Weekday,1,1,1,1,1,0,0,20211205,20220305,111,,,,57327.3014786666
79612,59757,59757,9899,2,99_WKD,1071850,NORTH TRANSFER: VIA SHERMAN,0,North Transfer,200644,59757,2S,D,23400,1,MMT,,WEST TP:NORTH TP,3,http://www.cityofmadison.com/metro/routes-schedules/route-2,B1006A,FFFFFF,99_WKD,Weekday,1,1,1,1,1,0,0,20211205,20220305,111,,,,57327.3014786666
79613,59757,59757,9899,2,99_WKD,1071832,NORTH TRANSFER: VIA SHERMAN,0,North Transfer,200647,59757,2S,D,27000,1,MMT,,WEST TP:NORTH TP,3,http://www.cityofmadison.com/metro/routes-schedules/route-2,B1006A,FFFFFF,99_WKD,Weekday,1,1,1,1,1,0,0,20211205,20220305,111,,,,57327.3014786666
79614,59757,59757,9899,2,99_WKD,1071831,NORTH TRANSFER: VIA SHERMAN,0,North Transfer,200645,59757,2S,D,30600,1,MMT,,WEST TP:NORTH TP,3,http://www.cityofmadison.com/metro/routes-schedules/route-2,B1006A,FFFFFF,99_WKD,Weekday,1,1,1,1,1,0,0,20211205,20220305,111,,,,57327.3014786666
79615,59757,59757,9899,2,99_WKD,1071830,NORTH TRANSFER: VIA SHERMAN,0,North Transfer,200644,59757,2S,D,34200,1,MMT,,WEST TP:NORTH TP,3,http://www.cityofmadison.com/metro/routes-schedules/route-2,B1006A,FFFFFF,99_WKD,Weekday,1,1,1,1,1,0,0,20211205,20220305,111,,,,57327.3014786666
79616,59757,59757,9899,2,99_WKD,1071829,NORTH TRANSFER: VIA SHERMAN,0,North Transfer,200647,59757,2S,D,37800,1,MMT,,WEST TP:NORTH TP,3,http://www.cityofmadison.com/metro/routes-schedules/route-2,B1006A,FFFFFF,99_WKD,Weekday,1,1,1,1,1,0,0,20211205,20220305,111,,,,57327.3014786666
79617,59757,59757,9899,2,99_WKD,1071828,NORTH TRANSFER: VIA SHERMAN,0,North Transfer,200645,59757,2S,D,41400,1,MMT,,WEST TP:NORTH TP,3,http://www.cityofmadison.com/metro/routes-schedules/route-2,B1006A,FFFFFF,99_WKD,Weekday,1,1,1,1,1,0,0,20211205,20220305,111,,,,57327.3014786666
79618,59757,59757,9899,2,99_WKD,1071827,NORTH TRANSFER: VIA SHERMAN,0,North Transfer,200644,59757,2S,D,45000,1,MMT,,WEST TP:NORTH TP,3,http://www.cityofmadison.com/metro/routes-schedules/route-2,B1006A,FFFFFF,99_WKD,Weekday,1,1,1,1,1,0,0,20211205,20220305,111,,,,57327.3014786666
79619,59757,59757,9899,2,99_WKD,1071826,NORTH TRANSFER: VIA SHERMAN,0,North Transfer,200647,59757,2S,D,48600,1,MMT,,WEST TP:NORTH TP,3,http://www.cityofmadison.com/metro/routes-schedules/route-2,B1006A,FFFFFF,99_WKD,Weekday,1,1,1,1,1,0,0,20211205,20220305,111,,,,57327.3014786666
79620,59757,59757,9899,2,99_WKD,1071825,NORTH TRANSFER: VIA SHERMAN,0,North Transfer,200645,59757,2S,D,52200,1,MMT,,WEST TP:NORTH TP,3,http://www.cityofmadison.com/metro/routes-schedules/route-2,B1006A,FFFFFF,99_WKD,Weekday,1,1,1,1,1,0,0,20211205,20220305,111,,,,57327.3014786666
