X,Y,OBJECTID,stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,agency_id,location_type,parent_station,wheelchair_boarding,Route,Route_Dir,Shelter,Bench,Schedule,Light,PK_MD_WE,jurisdiction_id,relative_position,cardinal_direction,primary_street,address_range,cross_location,Realtime
-89.3438541659531,43.0906674192895,28238,1191,1191,Oakridge & Miller (EB),This stop (#1191) is eastbound on the 2799 block of Oakridge Ave nearside Miller Ave,43.090665,-89.343855,MMT,0,,1,None,None,0,0,0,0,000,CMAD,3,90,Oakridge,2799,Miller,0
-89.3413601657602,43.0908994227263,28239,1386,1386,Oakridge & Maple (WB),This stop (#1386) is westbound on the 2998 block of Oakridge Ave farside Maple Ave,43.090897,-89.341361,MMT,0,,1,None,None,0,0,0,0,000,CMAD,1,270,Oakridge,2998,Maple,0
-89.3471141657453,43.0904544155213,28240,1457,1457,Oakridge & Evergreen (EB),This stop (#1457) is eastbound on the 2311 block of Oakridge Ave farside Evergreen Ave,43.090452,-89.347115,MMT,0,,1,None,None,0,0,0,0,000,CMAD,1,90,Oakridge,2311,Evergreen,0
-89.343471165261,43.0908734197931,28241,1484,1484,Oakridge & Miller (WB),This stop (#1484) is westbound on the 2800 block of Oakridge Ave nearside Miller Ave,43.090871,-89.343472,MMT,0,,1,None,None,0,0,0,0,000,CMAD,3,270,Oakridge,2800,Miller,0
-89.3407421653717,43.0908274231429,28242,1519,1519,Oakridge & Maple (EB),This stop (#1519) is eastbound on the 2999 block of Oakridge Ave nearside Maple Ave,43.090825,-89.340743,MMT,0,,1,None,None,0,0,0,0,000,CMAD,3,90,Oakridge,2999,Maple,0
-89.3472871647199,43.0906344150773,28243,1998,1998,Oakridge & Evergreen (WB),This stop (#1998) is westbound on the 2300 block of Oakridge Ave nearside Evergreen Ave,43.090632,-89.347288,MMT,0,,1,None,None,0,0,0,0,000,CMAD,3,270,Oakridge,2300,Evergreen,0
-89.2790461841742,43.0879534961077,28244,7931,7931,North Star & Orion (NB),This stop (#7931) is northbound on the 741 block of North Star Dr nearside Orion Trl,43.087951,-89.279047,MMT,0,,1,None,None,0,0,0,0,000,CMAD,3,0,North Star,741,Orion,0
-89.3859191958698,43.0764303608812,28245,1110,1110,E Dayton & Wisconsin (WB),This EVENT/DETOUR ONLY stop (#1110) is westbound on the 2 block of Dayton St (E) nearside of Wisconsin Ave,43.076428,-89.38592,MMT,0,,1,None,None,0,0,0,0,000,CMAD,3,270,E Dayton,2,Wisconsin,0
-89.3823532056641,43.0729403631118,28246,1111,1111,W Doty & M L K Junior (EB),This EVENT/DETOUR ONLY stop (#1111) is eastbound on the 1 block of Doty St (W) nearside of Martin Luther King Jr Blvd,43.072938,-89.382354,MMT,0,,1,None,None,0,0,0,0,000,CMAD,3,90,W Doty,1,M L K Junior,0
-89.385272206962,43.0724693594204,28247,1124,1124,S Fairchild & W Main (SB),This EVENT/DETOUR ONLY stop (#1124) is southbound on the 98 block of Fairchild St (S) nearside of Main St (W),43.072467,-89.385273,MMT,0,,1,None,None,0,0,0,0,000,CMAD,3,180,S Fairchild,98,W Main,0
-89.3834121935108,43.0772743641569,28248,1135,1135,N Webster & E Mifflin (NB),This EVENT/DETOUR ONLY stop (#1135) is northbound on the 101 block of Webster St (N) farside of Mifflin St (E),43.077272,-89.383413,MMT,0,,1,None,None,0,0,0,0,000,CMAD,1,0,N Webster,101,E Mifflin,0
-89.3819291960098,43.0763923651717,28249,1140,1140,E Washington & N Webster (WB),This EVENT/DETOUR ONLY stop (#1140) is westbound on the 200 block of E Washington Ave nearside of Webster St (N),43.07639,-89.38193,MMT,0,,1,None,None,0,0,0,0,000,CMAD,3,270,E Washington,200,N Webster,0
-89.3867232034403,43.0735063581467,28250,1146,1146,N Fairchild & W Washington (SB),This EVENT/DETOUR ONLY stop (#1146) is southbound on the 50 block of Fairchild St (N) nearside of W Washington Ave,43.073504,-89.386724,MMT,0,,1,None,None,0,0,0,0,000,CMAD,3,180,N Fairchild,50,W Washington,0
-89.3811911982063,43.0755813658143,28251,1155,1155,S Webster & E Main (NB),This EVENT/DETOUR ONLY stop (#1155) is northbound on the 99 block of Webster St (S) farside of Main St (E),43.075579,-89.381192,MMT,0,,1,None,None,0,0,0,0,000,CMAD,1,0,S Webster,99,E Main,0
-89.3878541994133,43.0751223577508,28252,1174,1174,W Dayton & State (WB),This EVENT/DETOUR ONLY stop (#1174) is westbound on the 198 block of Dayton St (W) nearside of State St,43.07512,-89.387855,MMT,0,,1,None,None,0,0,0,0,000,CMAD,3,270,W Dayton,198,State,0
-89.3807232031948,43.0741133655916,28253,1189,1189,E Doty & S Pinckney (EB),This EVENT/DETOUR ONLY stop (#1189) is eastbound on the 101 block of Doty St (E) nearside of Pinckney St (S),43.074111,-89.380724,MMT,0,,1,None,None,0,0,0,0,000,CMAD,3,90,E Doty,101,S Pinckney,0
-89.3946502974943,43.0389593339378,28254,4000,SoTP,South Transfer Point,The South Transfer Point station is located at 2430 Park St (S) - just north of Badger Rd (W),43.038957,-89.394651,MMT,1,,1,None,None,0,0,0,0,000,MTSM,5,,South Transfer Point,2430,S Park,0
-89.3948232979064,43.0388973339012,28255,4100,4100,South Transfer Point,This stop (#4100) is on the pedestrian island at the South Transfer Point station,43.038895,-89.394824,MMT,0,4000,1,"4, 5, 13, 16, 18, 40, 44, 48, 49","4 North Transfer, 4 South Transfer, 5 East Transfer, 5 South Transfer, 13 South Transfer, 13 U.W. Campus, 16 East Transfer, 16 South Transfer, 18 South Transfer, 18 West Transfer, 40 Grandview Loop, 40 Todd Loop, 44 South Transfer, 44 U.W. Campus, 48 Sout",1,0,1,1,111,MTSM,5,,South Transfer Point,2430,S Park,1
-89.3585251057665,43.1129204146747,28256,5000,NoTP,North Transfer Point,The North Transfer Point station is located at 1213 Huxley St - just south of Aberg Av,43.112918,-89.358526,MMT,1,,1,None,None,0,0,0,0,000,MTSM,5,,North Transfer Point,1213,Huxley,0
-89.3585391047502,43.1132554150327,28257,5100,5100,North Transfer Point,This stop (#5100) is on the pedestrian island at the North Transfer Point station,43.113253,-89.35854,MMT,0,5000,1,"2, 4, 17, 20, 21, 22, 28","2 North Transfer, 2 West Transfer, 4 North Transfer, 4 South Transfer, 17 East Transfer, 17 North Transfer, 20 East Towne, 20 North Transfer, 21 Lakeview Loop, 22 Mendota Loop, 28 North Transfer, 28 West Transfer",1,0,1,1,111,MTSM,5,,North Transfer Point,1213,Huxley,1
-89.475453255597,43.0538652556337,28258,6000,WeTP,West Transfer Point,The West Transfer Point station is located at 5700 Tokay Blvd - just west of Whitney Way,43.053863,-89.475454,MMT,1,,1,None,None,0,0,0,0,000,MTSM,5,,West Transfer Point,5700,Tokay,0
-89.4750972558852,43.0538852560782,28259,6100,6100,West Transfer Point,This stop (#6100) is on the pedestrian island at the West Transfer Point station,43.053883,-89.475098,MMT,0,6000,1,"2, 6, 7, 11, 12, 18, 28, 50, 51, 52, 55, 59, 63, 67, 68, 73, 78","2 North Transfer, 2 West Transfer, 6 East Towne, 6 West Transfer, 7 East Transfer, 7 West Transfer, 11 Dutch Mill, 11 West Transfer, 12 Dutch Mill, 12 West Transfer, 18 South Transfer, 18 West Transfer, 28 North Transfer, 28 West Transfer, 50 Raymond Loop",1,0,1,1,111,MTSM,5,,West Transfer Point,5700,Tokay,1
-89.3222501507399,43.098626451663,28260,7000,EaTP,East Transfer Point,The East Transfer Point station is located at 102 Corporate Dr (W) - just north of Milwaukee St,43.098624,-89.322251,MMT,1,,1,None,None,0,0,0,0,000,MTSM,5,,East Transfer Point,102,W Corporate,0
-89.3221471503763,43.0986214518314,28261,7100,7100,East Transfer Point,This stop (#7100) is on the pedestrian island at the East Transfer Point station,43.098619,-89.322148,MMT,0,7000,1,"5, 7, 15, 16, 17, 30, 31, 32, 33, 39","5 East Transfer, 5 South Transfer, 7 East Transfer, 7 West Transfer, 15 East Transfer, 15 High Point, 16 East Transfer, 16 South Transfer, 17 East Transfer, 17 North Transfer, 30 East Towne, 30 East Transfer, 31 East Transfer, 31 Marsh Road, 32 Thompson L",1,0,1,1,111,MTSM,5,,East Transfer Point,102,W Corporate,1
-89.3071340897954,43.1261634947554,28262,9000,9800,East Towne Mall,The East Towne Mall station is located eastbound at 89 E Towne Mall - just southeast of E Towne Blvd and Independence Ln,43.126161,-89.307135,MMT,1,,1,None,None,0,0,0,0,000,PRIV,5,90,East Towne Mall,89,E Towne,0
-89.3069600893017,43.1265784958464,28263,9800,9800,E Towne Mall & Shelter (EB),This stop (#9800) is eastbound on the pedestrian island at East Towne Mall,43.126576,-89.306961,MMT,0,9000,1,"6, 20, 26, 30, 36","6 East Towne, 6 West Transfer, 20 East Towne, 20 North Transfer, 26 American Loop, 30 East Towne, 30 East Transfer, 36 E Springs Loop",1,0,1,1,111,PRIV,5,90,East Towne Mall,89,E Towne,0
-89.4069812086948,43.070949334561,28264,5,0005,W Dayton & N Orchard (EB),This stop (#0005) is eastbound on the 1299 block of Dayton St (W) farside Orchard St (N),43.070947,-89.406982,MMT,0,,1,80,80 U.W. Campus,0,0,0,0,111,CMAD,1,90,W Dayton,1299,N Orchard,0
-89.4001531949495,43.0759353447081,28265,10,0010,Langdon & N Park (WB),This stop (#0010) is westbound on the 898 block of Langdon St nearside Park St (N),43.075933,-89.400154,MMT,0,,1,"80, 82","80 U.W. Campus, 82 U.W. Campus",1,0,1,0,111,CMAD,3,270,Langdon,898,N Park,0
-89.3969431961917,43.075693347923,28266,25,0025,Langdon & N Lake (EB),This stop (#0025) is eastbound on the 699 block of Langdon St farside Lake St (N),43.075691,-89.396944,MMT,0,,1,81,81 U.W. Campus,0,0,0,0,001,CMAD,1,90,Langdon,699,N Lake,0
-89.3973402073222,43.0718973456606,28267,39,0039,N Lake & W Johnson (NB),This stop (#0039) is northbound on the 299 block of Lake St (N) nearside Johnson St (W),43.071895,-89.397341,MMT,0,,1,"80, 82","80 U.W. Campus, 82 U.W. Campus",1,0,1,0,111,CMAD,3,0,N Lake,299,W Johnson,0
-89.397883209307,43.0708133442664,28268,43,0043,W Dayton & N Lake (EB),This stop (#0043) is eastbound on the 701 block of Dayton St (W) nearside Lake St (N),43.070811,-89.397884,MMT,0,,1,"80, 82","80 U.W. Campus, 82 U.W. Campus",0,0,0,0,111,CMAD,3,90,W Dayton,701,N Lake,0
-89.3898191889418,43.0784843570869,28269,45,0045,Langdon & Wisconsin (EB),This stop (#0045) is eastbound on the 1 block of Langdon St nearside Wisconsin Ave,43.078482,-89.38982,MMT,0,,1,81,81 U.W. Campus,0,0,0,0,001,CMAD,3,90,Langdon,1,Wisconsin,0
-89.4125971972732,43.074638329756,28270,47,0047,Babcock & Linden (NB),This stop (#0047) is northbound on the 499 block of Babcock Dr nearside Linden Dr,43.074636,-89.412598,MMT,0,,1,None,None,0,0,0,0,000,UWIS,3,0,Babcock,499,Linden,0
-89.3971901966059,43.0755313477844,28271,49,0049,N Lake & Langdon (NB),This stop (#0049) is northbound on the 599 block of Lake St (N) nearside Langdon St,43.075529,-89.397191,MMT,0,,1,"80, 82","80 U.W. Campus, 82 U.W. Campus",0,0,0,0,111,CMAD,3,0,N Lake,599,Langdon,0
-89.405659193801,43.0761333376947,28272,52,0052,Observatory & N Charter (WB),This stop (#0052) is westbound on the 1198 block of Observatory Dr nearside Charter St (N),43.076131,-89.40566,MMT,0,,1,"80, 82","80 U.W. Campus, 82 U.W. Campus",1,0,1,0,111,UWIS,3,270,Observatory,1198,N Charter,0
-89.4071401927978,43.0766523359962,28273,56,0056,Observatory & Liz Waters (WB),This stop (#0056) is westbound on the 1300 block of Observatory Dr adjacent Elizabeth Waters Hall,43.07665,-89.407141,MMT,0,,1,82,82 U.W. Campus,0,1,0,0,001,UWIS,2,270,Observatory,1300,Liz Waters,0
-89.4036591943466,43.0759983405629,28274,60,0060,Observatory & Bascom (WB),This stop (#0060) is westbound on the 1100 block of Observatory Dr adjacent Bascom Hall,43.075996,-89.40366,MMT,0,,1,"80, 82","80 U.W. Campus, 82 U.W. Campus",1,0,1,0,111,UWIS,2,270,Observatory,1100,Bascom,0
-89.4036972092314,43.0708953377462,28275,61,0061,W Dayton & N Mills (EB),This stop (#0061) is eastbound on the 1099 block of Dayton St (W) farside Mills St (N),43.070893,-89.403698,MMT,0,,1,80,80 U.W. Campus,0,0,0,0,111,CMAD,1,90,W Dayton,1099,N Mills,0
-89.397624206061,43.0721743454164,28276,68,0068,N Lake & W Johnson (SB),This stop (#0068) is southbound on the 300 block of Lake St (N) nearside Johnson St (W),43.072172,-89.397625,MMT,0,,1,81,81 U.W. Campus,0,0,0,0,001,CMAD,3,180,N Lake,300,W Johnson,0
-89.4000192095964,43.0708413424027,28277,75,0075,W Dayton & N Park (EB),This stop (#0075) is eastbound on the 899 block of Dayton St (W) farside Park St (N),43.070839,-89.40002,MMT,0,,1,"80, 82","80 U.W. Campus, 82 U.W. Campus",0,0,0,0,111,CMAD,1,90,W Dayton,899,N Park,0
-89.3923272009918,43.0741523526294,28278,87,0087,N Broom & W Gorham (NB),This stop (#0087) is northbound on the 399 block of Broom St (N) nearside Gorham St (W),43.07415,-89.392328,MMT,0,,1,"8, 11, 12, 15, 38, 70, 72, 81","8 Spring Harbor, 11 West Transfer, 12 West Transfer, 15 High Point, 38 University Row, 70 Middleton, 72 Middleton, 81 U.W. Campus",0,0,0,0,111,CMAD,3,0,N Broom,399,W Gorham,0
-89.3921411939949,43.0768463533508,28279,89,0089,Langdon & N Henry (EB),This stop (#0089) is eastbound on the 199 block of Langdon St farside Henry St (N),43.076844,-89.392142,MMT,0,,1,81,81 U.W. Campus,0,0,0,0,001,CMAD,1,90,Langdon,199,N Henry,0
-89.3880541922412,43.0775173592511,28280,96,0096,Wisconsin & W Gorham (SB),This stop (#0096) is southbound on the 400 block of Wisconsin Ave nearside Gorham St (W),43.077515,-89.388055,MMT,0,,1,81,81 U.W. Campus,0,0,0,0,001,CMAD,3,180,Wisconsin,400,W Gorham,0
-89.400178196094,43.0757473441778,28281,99,0099,Langdon & N Park (EB),This stop (#0099) is eastbound on the 899 block of Langdon St farside Park St (N),43.075745,-89.400179,MMT,0,,1,81,81 U.W. Campus,0,0,0,0,001,CMAD,1,90,Langdon,899,N Park,0
-89.4013642019561,43.0734013412157,28282,100,0100,University & N Park (WB),This stop (#0100) is westbound on the 900 block of University Ave farside Park St (N),43.073399,-89.401365,MMT,0,,1,"2, 4, 7, 8, 11, 12, 13, 15, 28, 38, 48, 70, 72","2 West Transfer, 4 South Transfer, 7 West Transfer, 8 Spring Harbor, 11 West Transfer, 12 West Transfer, 13 South Transfer, 13 U.W. Campus, 15 High Point, 28 West Transfer, 38 University Row, 48 U.W. Campus, 70 Middleton, 72 Middleton",1,0,1,0,111,CMAD,1,270,University,900,N Park,0
-89.404228208291,43.0711463372197,28283,104,0104,N Mills & W Dayton (SB),This stop (#0104) is southbound on the 200 block of Mills St (N) nearside Dayton St (W),43.071144,-89.404229,MMT,0,,1,"4, 44","4 South Transfer, 44 South Transfer",1,0,1,0,111,CMAD,3,180,N Mills,200,W Dayton,0
-89.3965322552047,43.0543853384326,28284,107,0107,S Park & W Olin (NB),This stop (#0107) is northbound on the 1117 block of Park St (S) farside Olin Ave (W),43.054383,-89.396533,MMT,0,,1,"5, 13, 44","5 East Transfer, 13 U.W. Campus, 44 U.W. Campus",1,1,0,0,111,CMAD,1,0,S Park,1117,W Olin,0
-89.392560267101,43.0499263408406,28285,110,0110,Gilson & Beld (WB),This stop (#0110) is westbound on the 1698 block of Gilson St nearside Beld St,43.049924,-89.392561,MMT,0,,0,44,44 South Transfer,0,0,0,0,100,CMAD,3,270,Gilson,1698,Beld,0
-89.3976022260532,43.065012342714,28286,113,0113,W Washington & Brittingham (EB),This stop (#0113) is eastbound on the 801 block of W Washington Ave adjacent Brittingham Park,43.06501,-89.397603,MMT,0,,1,5,5 East Transfer,1,0,1,0,111,CMAD,2,90,W Washington,801,Brittingham,0
-89.4007232177566,43.0679853401186,28287,115,0115,N Park & Regent (NB),This stop (#0115) is northbound on the 21 block of Park St (N) farside Regent St,43.067983,-89.400724,MMT,0,,1,"6, 13, 82","6 East Towne, 13 U.W. Campus, 82 U.W. Campus",1,0,1,0,111,CMAD,1,0,N Park,21,Regent,0
-89.4011162989783,43.0384683272821,28288,121,0121,W Badger & Fiedler (EB),This stop (#0121) is eastbound on the 1099 block of Badger Rd (W) farside Fiedler Ln,43.038466,-89.401117,MMT,0,,1,"4, 18, 40","4 South Transfer, 18 South Transfer, 40 Grandview Loop, 40 Todd Loop",0,0,0,0,111,TMAD,1,90,W Badger,1099,Fiedler,0
-89.394288270692,43.0489593386067,28289,124,0124,S Park & Wingra (SB),This stop (#0124) is southbound on the 1700 block of Park St (S) farside Wingra Dr (W),43.048957,-89.394289,MMT,0,,1,"5, 44","5 South Transfer, 44 South Transfer",0,0,1,0,111,CMAD,1,180,S Park,1700,Wingra,0
-89.4131532011408,43.0732773281965,28290,133,0133,University & N Breese (EB),This stop (#0133) is eastbound on the 1599 block of University Ave farside Breese Ter (N),43.073275,-89.413154,MMT,0,,1,"2, 12, 28, 48","2 North Transfer, 12 Dutch Mill, 28 North Transfer, 48 South Transfer",1,0,1,0,111,CMAD,1,90,University,1599,N Breese,0
-89.3991852566416,43.0539833356278,28291,146,0146,Fish Hatchery & Midland (SB),This stop (#0146) is southbound on the 1200 block of Fish Hatchery Rd farside Midland St,43.053981,-89.399186,MMT,0,,1,4,4 South Transfer,0,0,0,0,111,CMAD,1,180,Fish Hatchery,1200,Midland,0
-89.391781257257,43.0538743432566,28292,147,0147,W Olin & Hickory (EB),This stop (#0147) is eastbound on the 599 block of Olin Ave (W) farside Hickory St,43.053872,-89.391782,MMT,0,,1,"13, 44","13 South Transfer, 44 South Transfer",0,0,1,0,111,CMAD,1,90,W Olin,599,Hickory,0
-89.3843582907207,43.041195345495,28293,150,0150,N Rusk & Nygard (SB),This stop (#0150) is southbound on the 2198 block of Rusk Ave (N) nearside Nygard St,43.041193,-89.384359,MMT,0,,1,13,13 U.W. Campus,0,0,0,0,111,CMAD,3,180,N Rusk,2198,Nygard,0
