X,Y,OBJECTID,StopID,Route,Lat,Lon,DailyBoardings,DotSize
-89.4070129656482,43.0710530583991,20007,5,80,43.071061,-89.407019,322.93,3229261.32
-89.4002289669525,43.0758890570175,20008,10,80,43.075897,-89.400235,875.26,8752643.7
-89.4002289669525,43.0758890570175,20009,10,81,43.075897,-89.400235,79.74,797389.24
-89.4002289669525,43.0758890570175,20010,10,82,43.075897,-89.400235,16.9,168965
-89.3969899677741,43.0758410568999,20011,25,81,43.075849,-89.396996,24.06,240553.18
-89.3973089681123,43.0718190578856,20012,39,80,43.071827,-89.397315,664.91,6649138.76
-89.3900769689855,43.078389055931,20013,45,81,43.078397,-89.390083,0.78,7795.7
-89.4127119635866,43.0746310583779,20014,47,11,43.074639,-89.412718,0.22,2230.54
-89.4127119635866,43.0746310583779,20015,47,27,43.074639,-89.412718,6,60000
-89.3973099677128,43.0756230574144,20016,49,80,43.075631,-89.397316,701.13,7011309.38
-89.3973099677128,43.0756230574144,20017,49,81,43.075631,-89.397316,16.93,169278.16
-89.3973099677128,43.0756230574144,20018,49,82,43.075631,-89.397316,5.67,56692.2
-89.4056189655139,43.0760620572921,20019,52,80,43.07607,-89.405625,263.05,2630502.45
-89.4056189655139,43.0760620572921,20020,52,81,43.07607,-89.405625,6.35,63479.31
-89.4070419649955,43.0766200571986,20021,56,81,43.076628,-89.407048,2.9,28955.48
-89.403612965506,43.0759060571241,20022,60,80,43.075914,-89.403619,166.17,1661724.05
-89.403612965506,43.0759060571241,20023,60,81,43.075914,-89.403619,1.67,16705.08
-89.4037379664852,43.0709690584395,20024,61,80,43.070977,-89.403744,102.48,1024841.96
-89.3975179675412,43.0722070574404,20025,68,82,43.072215,-89.397524,5.45,54468.98
-89.4006779665012,43.0743090576665,20026,70,82,43.074317,-89.400684,5.11,51134.14
-89.3996829677464,43.0709060580293,20027,75,80,43.070914,-89.399689,421.49,4214858.78
-89.3924129688467,43.0740650569229,20028,87,1,43.074073,-89.392419,5.25,52495.96
-89.3924129688467,43.0740650569229,20029,87,10,43.074073,-89.392419,38.9,388964.56
-89.3924129688467,43.0740650569229,20030,87,11,43.074073,-89.392419,2.12,21190.12
-89.3924129688467,43.0740650569229,20031,87,19,43.074073,-89.392419,14.79,147944.62
-89.3924129688467,43.0740650569229,20032,87,38,43.074073,-89.392419,41.31,413052.13
-89.3924129688467,43.0740650569229,20033,87,82,43.074073,-89.392419,6.78,67808.32
-89.3921709686868,43.0769190571039,20034,89,81,43.076927,-89.392177,2.23,22273.44
-89.3881579704907,43.0775960565141,20035,96,81,43.077604,-89.388164,3.79,37864.85
-89.4001059667139,43.0758170575372,20036,99,81,43.075825,-89.400112,87.2,872005.27
-89.4001059667139,43.0758170575372,20037,99,82,43.075825,-89.400112,69.48,694757.4
-89.4013519664126,43.0733450574635,20038,100,1,43.073353,-89.401358,10.16,101641.11
-89.4013519664126,43.0733450574635,20039,100,2,43.073353,-89.401358,178.79,1787943.08
-89.4013519664126,43.0733450574635,20040,100,3,43.073353,-89.401358,112.48,1124783.87
-89.4013519664126,43.0733450574635,20041,100,4,43.073353,-89.401358,65.71,657102.36
-89.4013519664126,43.0733450574635,20042,100,10,43.073353,-89.401358,221.04,2210430.06
-89.4013519664126,43.0733450574635,20043,100,11,43.073353,-89.401358,13.72,137178.14
-89.4013519664126,43.0733450574635,20044,100,12,43.073353,-89.401358,1.34,13352.07
-89.4013519664126,43.0733450574635,20045,100,13,43.073353,-89.401358,91.06,910646.06
-89.4013519664126,43.0733450574635,20046,100,14,43.073353,-89.401358,64.96,649628.58
-89.4013519664126,43.0733450574635,20047,100,15,43.073353,-89.401358,121.61,1216069.29
-89.4013519664126,43.0733450574635,20048,100,19,43.073353,-89.401358,43.16,431597.83
-89.4013519664126,43.0733450574635,20049,100,27,43.073353,-89.401358,0.33,3333.33
-89.4013519664126,43.0733450574635,20050,100,28,43.073353,-89.401358,24.46,244554.86
-89.4013519664126,43.0733450574635,20051,100,29,43.073353,-89.401358,0.35,3497.33
-89.4013519664126,43.0733450574635,20052,100,37,43.073353,-89.401358,10.03,100264.29
